,Category,Severity,Interactive,Status,Year,exists,host,date,weekday
0,security,moderate,---,needed,2023,1,jfrailvbh02,13-12-2023,50.4
1,security,moderate,---,needed,2015,1,jfrailvbh02,13-12-2023,50.4
2,security,moderate,---,needed,2019,1,jfrailvbh02,13-12-2023,50.4
3,security,moderate,---,needed,2020,1,jfrailvbh02,13-12-2023,50.4
5,security,moderate,---,needed,2022,1,jfrailvbh02,13-12-2023,50.4
6,security,moderate,---,needed,2018,1,jfrailvbh02,13-12-2023,50.4
14,security,important,---,needed,2023,1,jfrailvbh02,13-12-2023,50.4
15,security,important,---,needed,2015,1,jfrailvbh02,13-12-2023,50.4
17,security,important,---,needed,2020,1,jfrailvbh02,13-12-2023,50.4
18,security,important,---,needed,2021,1,jfrailvbh02,13-12-2023,50.4
19,security,important,---,needed,2022,1,jfrailvbh02,13-12-2023,50.4
21,security,important,reboot,needed,2023,1,jfrailvbh02,13-12-2023,50.4
24,security,important,reboot,needed,2020,1,jfrailvbh02,13-12-2023,50.4
25,security,important,reboot,needed,2021,1,jfrailvbh02,13-12-2023,50.4
26,security,important,reboot,needed,2022,1,jfrailvbh02,13-12-2023,50.4
28,security,low,---,needed,2023,1,jfrailvbh02,13-12-2023,50.4
42,bugfix,moderate,---,needed,2023,1,jfrailvbh02,13-12-2023,50.4
43,bugfix,moderate,---,needed,2015,1,jfrailvbh02,13-12-2023,50.4
44,bugfix,moderate,---,needed,2019,1,jfrailvbh02,13-12-2023,50.4
